pH,Do duc (NTU),Nhiet do (°C),Label,Khu vuc,Kenh
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.31,Safe,Go Vap,An Thong
6.38,233.37,34.31,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.31,Safe,Go Vap,An Thong
6.38,231.01,34.25,Safe,Go Vap,An Thong
6.38,235.73,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.31,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,235.73,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,235.73,34.31,Safe,Go Vap,An Thong
6.38,233.37,34.31,Safe,Go Vap,An Thong
6.38,231.01,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,235.73,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,235.73,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,235.73,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.19,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,235.73,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.19,Safe,Go Vap,An Thong
6.38,231.01,34.25,Safe,Go Vap,An Thong
6.38,231.01,34.25,Safe,Go Vap,An Thong
6.38,233.37,34.25,Safe,Go Vap,An Thong
6.38,231.01,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.25,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.25,Safe,Go Vap,An Thong
6.4,235.73,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,231.01,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,235.73,34.25,Safe,Go Vap,An Thong
6.4,231.01,34.19,Safe,Go Vap,An Thong
6.4,235.73,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,231.01,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,235.73,34.19,Safe,Go Vap,An Thong
6.4,231.01,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,235.73,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.19,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,231.01,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,231.01,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.4,233.37,34.13,Safe,Go Vap,An Thong
6.39,233.37,34.13,Safe,Go Vap,An Thong
6.39,233.37,34.13,Safe,Go Vap,An Thong
6.39,231.01,34.13,Safe,Go Vap,An Thong
6.39,233.37,34.13,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.13,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.13,Safe,Go Vap,An Thong
6.39,231.01,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,231.01,34.13,Safe,Go Vap,An Thong
6.39,235.73,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,231.01,34.06,Safe,Go Vap,An Thong
6.39,231.01,34.06,Safe,Go Vap,An Thong
6.39,233.37,34,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,231.01,34.06,Safe,Go Vap,An Thong
6.39,231.01,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,231.01,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.39,233.37,34.06,Safe,Go Vap,An Thong
6.32,233.37,34.06,Safe,Go Vap,An Thong
6.32,233.37,34.06,Safe,Go Vap,An Thong
6.32,235.73,34.06,Safe,Go Vap,An Thong
6.32,233.37,34.06,Safe,Go Vap,An Thong
6.32,233.37,34.06,Safe,Go Vap,An Thong
6.32,233.37,34.06,Safe,Go Vap,An Thong
6.32,233.37,34.06,Safe,Go Vap,An Thong
6.32,233.37,34.06,Safe,Go Vap,An Thong
6.32,233.37,34.06,Safe,Go Vap,An Thong
6.32,233.37,34.06,Safe,Go Vap,An Thong
6.32,233.37,34,Safe,Go Vap,An Thong
6.32,231.01,34.06,Safe,Go Vap,An Thong
6.32,233.37,34.06,Safe,Go Vap,An Thong
6.32,233.37,34.06,Safe,Go Vap,An Thong
6.32,231.01,34.06,Safe,Go Vap,An Thong
6.32,233.37,34,Safe,Go Vap,An Thong
6.32,233.37,34,Safe,Go Vap,An Thong
6.32,233.37,34,Safe,Go Vap,An Thong
6.32,231.01,33.94,Safe,Go Vap,An Thong
6.32,233.37,34,Safe,Go Vap,An Thong
6.32,235.73,33.94,Safe,Go Vap,An Thong
6.32,233.37,33.94,Safe,Go Vap,An Thong
6.32,233.37,33.94,Safe,Go Vap,An Thong
6.32,233.37,34,Safe,Go Vap,An Thong
6.32,235.73,33.94,Safe,Go Vap,An Thong
6.32,233.37,34,Safe,Go Vap,An Thong
6.32,233.37,34,Safe,Go Vap,An Thong
6.32,233.37,34,Safe,Go Vap,An Thong
6.32,233.37,33.94,Safe,Go Vap,An Thong
6.32,231.01,33.94,Safe,Go Vap,An Thong
6.32,233.37,34,Safe,Go Vap,An Thong
6.32,233.37,33.94,Safe,Go Vap,An Thong
6.32,233.37,33.94,Safe,Go Vap,An Thong
6.32,231.01,33.94,Safe,Go Vap,An Thong
6.32,231.01,33.94,Safe,Go Vap,An Thong
6.32,235.73,34,Safe,Go Vap,An Thong
6.32,233.37,33.94,Safe,Go Vap,An Thong
6.32,233.37,33.94,Safe,Go Vap,An Thong
6.32,231.01,33.94,Safe,Go Vap,An Thong
6.32,233.37,33.94,Safe,Go Vap,An Thong
6.31,233.37,33.94,Safe,Go Vap,An Thong
6.31,231.01,33.94,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.94,Safe,Go Vap,An Thong
6.31,231.01,33.94,Safe,Go Vap,An Thong
6.31,233.37,33.94,Safe,Go Vap,An Thong
6.31,233.37,33.94,Safe,Go Vap,An Thong
6.31,231.01,33.94,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.94,Safe,Go Vap,An Thong
6.31,231.01,33.94,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.94,Safe,Go Vap,An Thong
6.31,233.37,33.94,Safe,Go Vap,An Thong
6.31,231.01,33.94,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.94,Safe,Go Vap,An Thong
6.31,231.01,33.88,Safe,Go Vap,An Thong
6.31,235.73,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.94,Safe,Go Vap,An Thong
6.31,233.37,33.94,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,235.73,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,233.37,33.81,Safe,Go Vap,An Thong
6.31,233.37,33.88,Safe,Go Vap,An Thong
6.31,231.01,33.88,Safe,Go Vap,An Thong
6.31,231.01,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.88,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.88,Safe,Go Vap,An Thong
6.33,233.37,33.88,Safe,Go Vap,An Thong
6.33,233.37,33.88,Safe,Go Vap,An Thong
6.33,231.01,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,231.01,33.88,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,231.01,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,231.01,33.81,Safe,Go Vap,An Thong
6.33,231.01,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,231.01,33.75,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,231.01,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.75,Safe,Go Vap,An Thong
6.33,231.01,33.75,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,231.01,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.75,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,231.01,33.81,Safe,Go Vap,An Thong
6.33,231.01,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.75,Safe,Go Vap,An Thong
6.33,233.37,33.81,Safe,Go Vap,An Thong
6.33,233.37,33.75,Safe,Go Vap,An Thong
6.33,233.37,33.75,Safe,Go Vap,An Thong
6.33,233.37,33.75,Safe,Go Vap,An Thong
10.64,231.01,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.75,Signs of Water Pollution,Go Vap,An Thong
10.64,231.01,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,233.37,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,372.54,33.69,Pollution,Go Vap,An Thong
10.64,348.95,33.69,Pollution,Go Vap,An Thong
10.64,268.75,33.69,Pollution,Go Vap,An Thong
10.64,233.37,33.69,Signs of Water Pollution,Go Vap,An Thong
10.64,207.42,33.63,Signs of Water Pollution,Go Vap,An Thong
10.64,190.91,33.38,Signs of Water Pollution,Go Vap,An Thong
10.64,155.52,33.06,Signs of Water Pollution,Go Vap,An Thong
10.64,160.24,32.75,Signs of Water Pollution,Go Vap,An Thong
10.64,155.52,32.5,Signs of Water Pollution,Go Vap,An Thong
10.64,153.16,32.31,Signs of Water Pollution,Go Vap,An Thong
10.64,150.81,32.13,Signs of Water Pollution,Go Vap,An Thong
10.95,148.45,31.94,Signs of Water Pollution,Go Vap,An Thong
10.95,148.45,31.81,Signs of Water Pollution,Go Vap,An Thong
10.95,146.09,31.69,Signs of Water Pollution,Go Vap,An Thong
10.95,146.09,31.62,Signs of Water Pollution,Go Vap,An Thong
10.95,143.73,31.5,Signs of Water Pollution,Go Vap,An Thong
10.95,143.73,31.44,Signs of Water Pollution,Go Vap,An Thong
10.95,143.73,31.37,Signs of Water Pollution,Go Vap,An Thong
10.95,141.37,31.31,Signs of Water Pollution,Go Vap,An Thong
10.95,141.37,31.25,Signs of Water Pollution,Go Vap,An Thong
10.95,139.01,31.25,Signs of Water Pollution,Go Vap,An Thong
10.95,141.37,31.19,Signs of Water Pollution,Go Vap,An Thong
10.95,139.01,31.12,Signs of Water Pollution,Go Vap,An Thong
10.95,136.65,31.12,Signs of Water Pollution,Go Vap,An Thong
10.95,139.01,31.06,Signs of Water Pollution,Go Vap,An Thong
10.95,139.01,31.06,Signs of Water Pollution,Go Vap,An Thong
10.95,139.01,31,Signs of Water Pollution,Go Vap,An Thong
10.95,136.65,31,Signs of Water Pollution,Go Vap,An Thong
10.95,134.29,31,Signs of Water Pollution,Go Vap,An Thong
10.95,136.65,31,Signs of Water Pollution,Go Vap,An Thong
10.95,136.65,30.94,Signs of Water Pollution,Go Vap,An Thong
10.95,136.65,30.94,Signs of Water Pollution,Go Vap,An Thong
10.95,136.65,30.94,Signs of Water Pollution,Go Vap,An Thong
10.95,134.29,30.87,Signs of Water Pollution,Go Vap,An Thong
10.95,136.65,30.81,Signs of Water Pollution,Go Vap,An Thong
10.95,134.29,30.87,Signs of Water Pollution,Go Vap,An Thong
10.95,134.29,30.81,Signs of Water Pollution,Go Vap,An Thong
10.95,136.65,30.81,Signs of Water Pollution,Go Vap,An Thong
10.95,134.29,30.75,Signs of Water Pollution,Go Vap,An Thong
10.95,131.93,30.69,Signs of Water Pollution,Go Vap,An Thong
10.95,129.58,30.69,Signs of Water Pollution,Go Vap,An Thong
10.95,238.08,30.69,Signs of Water Pollution,Go Vap,An Thong
10.95,233.37,28.06,Signs of Water Pollution,Go Vap,An Thong
10.95,233.37,24.12,Signs of Water Pollution,Go Vap,An Thong
10.95,235.73,20.75,Signs of Water Pollution,Go Vap,An Thong
10.95,334.8,18.37,Pollution,Go Vap,An Thong
10.95,268.75,16.56,Pollution,Go Vap,An Thong
10.95,205.06,15.25,Signs of Water Pollution,Go Vap,An Thong
10.95,205.06,14.19,Signs of Water Pollution,Go Vap,An Thong
10.95,205.06,13.13,Signs of Water Pollution,Go Vap,An Thong
10.95,205.06,12.31,Signs of Water Pollution,Go Vap,An Thong
10.87,209.78,11.75,Signs of Water Pollution,Go Vap,An Thong
10.87,212.14,11.19,Signs of Water Pollution,Go Vap,An Thong
10.87,207.42,10.81,Signs of Water Pollution,Go Vap,An Thong
10.87,209.78,10.5,Signs of Water Pollution,Go Vap,An Thong
10.87,209.78,10.19,Signs of Water Pollution,Go Vap,An Thong
10.87,205.06,10.06,Signs of Water Pollution,Go Vap,An Thong
10.87,202.7,9.88,Signs of Water Pollution,Go Vap,An Thong
10.87,197.98,9.69,Signs of Water Pollution,Go Vap,An Thong
10.87,190.91,9.63,Signs of Water Pollution,Go Vap,An Thong
10.87,188.55,9.5,Signs of Water Pollution,Go Vap,An Thong
10.87,183.83,9.44,Signs of Water Pollution,Go Vap,An Thong
10.87,183.83,9.31,Signs of Water Pollution,Go Vap,An Thong
10.87,181.47,9.31,Signs of Water Pollution,Go Vap,An Thong
10.87,179.11,9.19,Signs of Water Pollution,Go Vap,An Thong
10.87,174.39,9.19,Signs of Water Pollution,Go Vap,An Thong
10.87,174.39,9.13,Signs of Water Pollution,Go Vap,An Thong
10.87,176.75,9.06,Signs of Water Pollution,Go Vap,An Thong
10.87,174.39,9.13,Signs of Water Pollution,Go Vap,An Thong
10.87,164.96,9.06,Signs of Water Pollution,Go Vap,An Thong
10.87,167.32,9.13,Signs of Water Pollution,Go Vap,An Thong
10.87,164.96,9.06,Signs of Water Pollution,Go Vap,An Thong
10.87,164.96,9.13,Signs of Water Pollution,Go Vap,An Thong
10.87,160.24,9.13,Signs of Water Pollution,Go Vap,An Thong
10.87,160.24,9.13,Signs of Water Pollution,Go Vap,An Thong
10.87,160.24,9.19,Signs of Water Pollution,Go Vap,An Thong
10.87,157.88,9.13,Signs of Water Pollution,Go Vap,An Thong
10.87,157.88,9.13,Signs of Water Pollution,Go Vap,An Thong
10.87,157.88,9.19,Signs of Water Pollution,Go Vap,An Thong
10.87,155.52,9.19,Signs of Water Pollution,Go Vap,An Thong
10.87,153.16,9.19,Signs of Water Pollution,Go Vap,An Thong
10.87,155.52,9.19,Signs of Water Pollution,Go Vap,An Thong
10.87,155.52,9.19,Signs of Water Pollution,Go Vap,An Thong
10.87,150.81,9.19,Signs of Water Pollution,Go Vap,An Thong
10.87,150.81,9.25,Signs of Water Pollution,Go Vap,An Thong
10.87,153.16,9.25,Signs of Water Pollution,Go Vap,An Thong
10.87,150.81,9.25,Signs of Water Pollution,Go Vap,An Thong
10.87,150.81,9.19,Signs of Water Pollution,Go Vap,An Thong
10.87,150.81,9.31,Signs of Water Pollution,Go Vap,An Thong
10.87,148.45,9.31,Signs of Water Pollution,Go Vap,An Thong
10.87,150.81,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,150.81,9.25,Signs of Water Pollution,Go Vap,An Thong
10.99,148.45,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,148.45,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,146.09,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,146.09,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,146.09,9.25,Signs of Water Pollution,Go Vap,An Thong
10.99,146.09,9.25,Signs of Water Pollution,Go Vap,An Thong
10.99,146.09,9.25,Signs of Water Pollution,Go Vap,An Thong
10.99,146.09,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,143.73,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,146.09,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,143.73,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,146.09,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,143.73,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,146.09,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,143.73,9.38,Signs of Water Pollution,Go Vap,An Thong
10.99,143.73,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,143.73,9.31,Signs of Water Pollution,Go Vap,An Thong
10.99,143.73,9.38,Signs of Water Pollution,Go Vap,An Thong
10.99,315.93,9.31,Pollution,Go Vap,An Thong
10.99,898.57,9.31,Pollution,Go Vap,An Thong
10.99,957.54,9.38,Pollution,Go Vap,An Thong
10.99,962.26,9.38,Pollution,Go Vap,An Thong
10.99,962.26,9.38,Pollution,Go Vap,An Thong
10.99,962.26,9.38,Pollution,Go Vap,An Thong
10.99,959.9,9.38,Pollution,Go Vap,An Thong
10.99,962.26,9.38,Pollution,Go Vap,An Thong
10.99,962.26,9.44,Pollution,Go Vap,An Thong
10.99,962.26,9.44,Pollution,Go Vap,An Thong
10.99,962.26,9.44,Pollution,Go Vap,An Thong
10.99,962.26,9.38,Pollution,Go Vap,An Thong
10.99,962.26,9.44,Pollution,Go Vap,An Thong
10.99,962.26,9.44,Pollution,Go Vap,An Thong
10.99,962.26,9.38,Pollution,Go Vap,An Thong
10.99,962.26,9.44,Pollution,Go Vap,An Thong
10.99,962.26,9.44,Pollution,Go Vap,An Thong
10.99,959.9,9.44,Pollution,Go Vap,An Thong
10.99,962.26,9.44,Pollution,Go Vap,An Thong
10.99,962.26,9.44,Pollution,Go Vap,An Thong
10.99,962.26,9.44,Pollution,Go Vap,An Thong
10.81,959.9,9.38,Pollution,Go Vap,An Thong
