pH,Do duc (NTU),Nhiet do (°C),Label
6.31,233.37,33.88,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.88,Safe
6.31,235.73,33.88,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.88,Safe
6.31,233.37,33.81,Safe
6.31,233.37,33.88,Safe
6.31,231.01,33.88,Safe
6.31,231.01,33.81,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.88,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.88,Safe
6.33,233.37,33.88,Safe
6.33,233.37,33.88,Safe
6.33,231.01,33.81,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.81,Safe
6.33,231.01,33.88,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.81,Safe
6.33,231.01,33.81,Safe
6.33,233.37,33.81,Safe
6.33,231.01,33.81,Safe
6.33,231.01,33.81,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.81,Safe
6.33,231.01,33.75,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.81,Safe
6.33,231.01,33.81,Safe
6.33,233.37,33.75,Safe
6.33,231.01,33.75,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.81,Safe
6.33,231.01,33.81,Safe
6.33,233.37,33.75,Safe
6.33,233.37,33.81,Safe
6.33,231.01,33.81,Safe
6.33,231.01,33.81,Safe
6.33,233.37,33.75,Safe
6.33,233.37,33.81,Safe
6.33,233.37,33.75,Safe
6.33,233.37,33.75,Safe
6.33,233.37,33.75,Safe
10.64,231.01,33.75,Signs of Water Pollution
10.64,231.01,33.75,Signs of Water Pollution
10.64,233.37,33.75,Signs of Water Pollution
10.64,233.37,33.75,Signs of Water Pollution
10.64,231.01,33.75,Signs of Water Pollution
10.64,233.37,33.75,Signs of Water Pollution
10.64,233.37,33.75,Signs of Water Pollution
10.64,231.01,33.75,Signs of Water Pollution
10.64,233.37,33.75,Signs of Water Pollution
10.64,233.37,33.75,Signs of Water Pollution
10.64,233.37,33.75,Signs of Water Pollution
10.64,233.37,33.75,Signs of Water Pollution
10.64,231.01,33.75,Signs of Water Pollution
10.64,231.01,33.69,Signs of Water Pollution
10.64,233.37,33.75,Signs of Water Pollution
10.64,233.37,33.69,Signs of Water Pollution
10.64,231.01,33.69,Signs of Water Pollution
10.64,231.01,33.69,Signs of Water Pollution
10.64,231.01,33.69,Signs of Water Pollution
10.64,233.37,33.69,Signs of Water Pollution
10.64,231.01,33.69,Signs of Water Pollution
10.64,231.01,33.75,Signs of Water Pollution
10.64,233.37,33.75,Signs of Water Pollution
10.64,231.01,33.69,Signs of Water Pollution
10.64,231.01,33.69,Signs of Water Pollution
10.64,233.37,33.69,Signs of Water Pollution
10.64,231.01,33.75,Signs of Water Pollution
10.64,231.01,33.69,Signs of Water Pollution
10.64,233.37,33.69,Signs of Water Pollution
10.64,372.54,33.69,Pollution
10.64,348.95,33.69,Pollution
10.64,268.75,33.69,Pollution
10.64,233.37,33.69,Signs of Water Pollution
10.64,207.42,33.63,Signs of Water Pollution
10.64,190.91,33.38,Signs of Water Pollution
10.64,155.52,33.06,Signs of Water Pollution
10.64,160.24,32.75,Signs of Water Pollution
10.64,155.52,32.5,Signs of Water Pollution
10.64,153.16,32.31,Signs of Water Pollution
10.64,150.81,32.13,Signs of Water Pollution
10.95,148.45,31.94,Signs of Water Pollution
10.95,148.45,31.81,Signs of Water Pollution
10.95,146.09,31.69,Signs of Water Pollution
10.95,146.09,31.62,Signs of Water Pollution
10.95,143.73,31.5,Signs of Water Pollution
10.95,143.73,31.44,Signs of Water Pollution
10.95,143.73,31.37,Signs of Water Pollution
10.95,141.37,31.31,Signs of Water Pollution
10.95,141.37,31.25,Signs of Water Pollution
10.95,139.01,31.25,Signs of Water Pollution
10.95,141.37,31.19,Signs of Water Pollution
10.95,139.01,31.12,Signs of Water Pollution
10.95,136.65,31.12,Signs of Water Pollution
10.95,139.01,31.06,Signs of Water Pollution
10.95,139.01,31.06,Signs of Water Pollution
10.95,139.01,31,Signs of Water Pollution
10.95,136.65,31,Signs of Water Pollution
10.95,134.29,31,Signs of Water Pollution
10.95,136.65,31,Signs of Water Pollution
10.95,136.65,30.94,Signs of Water Pollution
10.95,136.65,30.94,Signs of Water Pollution
10.95,136.65,30.94,Signs of Water Pollution
10.95,134.29,30.87,Signs of Water Pollution
10.95,136.65,30.81,Signs of Water Pollution
10.95,134.29,30.87,Signs of Water Pollution
10.95,134.29,30.81,Signs of Water Pollution
10.95,136.65,30.81,Signs of Water Pollution
10.95,134.29,30.75,Signs of Water Pollution
10.95,131.93,30.69,Signs of Water Pollution
10.95,129.58,30.69,Signs of Water Pollution
10.95,238.08,30.69,Signs of Water Pollution
10.95,233.37,28.06,Signs of Water Pollution
10.95,233.37,24.12,Signs of Water Pollution
10.95,235.73,20.75,Signs of Water Pollution
10.95,334.8,18.37,Pollution
10.95,268.75,16.56,Pollution
10.95,205.06,15.25,Signs of Water Pollution
10.95,205.06,14.19,Signs of Water Pollution
10.95,205.06,13.13,Signs of Water Pollution
10.95,205.06,12.31,Signs of Water Pollution
10.87,209.78,11.75,Signs of Water Pollution
10.87,212.14,11.19,Signs of Water Pollution
10.87,207.42,10.81,Signs of Water Pollution
10.87,209.78,10.5,Signs of Water Pollution
10.87,209.78,10.19,Signs of Water Pollution
10.87,205.06,10.06,Signs of Water Pollution
10.87,202.7,9.88,Signs of Water Pollution
10.87,197.98,9.69,Signs of Water Pollution
10.87,190.91,9.63,Signs of Water Pollution
10.87,188.55,9.5,Signs of Water Pollution
10.87,183.83,9.44,Signs of Water Pollution
10.87,183.83,9.31,Signs of Water Pollution
10.87,181.47,9.31,Signs of Water Pollution
10.87,179.11,9.19,Signs of Water Pollution
10.87,174.39,9.19,Signs of Water Pollution
10.87,174.39,9.13,Signs of Water Pollution
10.87,176.75,9.06,Signs of Water Pollution
10.87,174.39,9.13,Signs of Water Pollution
10.87,164.96,9.06,Signs of Water Pollution
10.87,167.32,9.13,Signs of Water Pollution
10.87,164.96,9.06,Signs of Water Pollution
10.87,164.96,9.13,Signs of Water Pollution
10.87,160.24,9.13,Signs of Water Pollution
10.87,160.24,9.13,Signs of Water Pollution
10.87,160.24,9.19,Signs of Water Pollution
10.87,157.88,9.13,Signs of Water Pollution
10.87,157.88,9.13,Signs of Water Pollution
10.87,157.88,9.19,Signs of Water Pollution
10.87,155.52,9.19,Signs of Water Pollution
10.87,153.16,9.19,Signs of Water Pollution
10.87,155.52,9.19,Signs of Water Pollution
10.87,155.52,9.19,Signs of Water Pollution
10.87,150.81,9.19,Signs of Water Pollution
10.87,150.81,9.25,Signs of Water Pollution
10.87,153.16,9.25,Signs of Water Pollution
10.87,150.81,9.25,Signs of Water Pollution
10.87,150.81,9.19,Signs of Water Pollution
10.87,150.81,9.31,Signs of Water Pollution
10.87,148.45,9.31,Signs of Water Pollution
10.87,150.81,9.31,Signs of Water Pollution
10.99,150.81,9.25,Signs of Water Pollution
10.99,148.45,9.31,Signs of Water Pollution
10.99,148.45,9.31,Signs of Water Pollution
10.99,146.09,9.31,Signs of Water Pollution
10.99,146.09,9.31,Signs of Water Pollution
10.99,146.09,9.25,Signs of Water Pollution
10.99,146.09,9.25,Signs of Water Pollution
10.99,146.09,9.25,Signs of Water Pollution
10.99,146.09,9.31,Signs of Water Pollution
10.99,143.73,9.31,Signs of Water Pollution
10.99,146.09,9.31,Signs of Water Pollution
10.99,143.73,9.31,Signs of Water Pollution
10.99,146.09,9.31,Signs of Water Pollution
10.99,143.73,9.31,Signs of Water Pollution
10.99,146.09,9.31,Signs of Water Pollution
10.99,143.73,9.38,Signs of Water Pollution
10.99,143.73,9.31,Signs of Water Pollution
10.99,143.73,9.31,Signs of Water Pollution
10.99,143.73,9.38,Signs of Water Pollution
10.99,315.93,9.31,Pollution
10.99,898.57,9.31,Pollution
10.99,957.54,9.38,Pollution
10.99,962.26,9.38,Pollution
10.99,962.26,9.38,Pollution
10.99,962.26,9.38,Pollution
10.99,959.9,9.38,Pollution
10.99,962.26,9.38,Pollution
10.99,962.26,9.44,Pollution
10.99,962.26,9.44,Pollution
10.99,962.26,9.44,Pollution
10.99,962.26,9.38,Pollution
10.99,962.26,9.44,Pollution
10.99,962.26,9.44,Pollution
10.99,962.26,9.38,Pollution
10.99,962.26,9.44,Pollution
10.99,962.26,9.44,Pollution
10.99,959.9,9.44,Pollution
10.99,962.26,9.44,Pollution
10.99,962.26,9.44,Pollution
10.99,962.26,9.44,Pollution
10.81,959.9,9.38,Pollution
10.81,959.9,9.44,Pollution
10.81,962.26,9.44,Pollution
10.81,962.26,9.44,Pollution
10.81,959.9,9.44,Pollution
10.81,962.26,9.38,Pollution
10.81,962.26,9.38,Pollution
10.81,959.9,9.44,Pollution
10.81,962.26,9.44,Pollution
10.81,962.26,9.44,Pollution
10.81,962.26,9.5,Pollution
10.81,962.26,9.5,Pollution
10.81,962.26,9.5,Pollution
10.81,962.26,9.5,Pollution
10.81,964.62,9.5,Pollution
10.81,962.26,9.5,Pollution
10.81,962.26,9.44,Pollution
10.81,962.26,9.38,Pollution
10.81,962.26,9.38,Pollution
10.81,962.26,9.38,Pollution
10.81,962.26,9.31,Pollution
10.81,962.26,9.25,Pollution
10.81,962.26,9.25,Pollution
10.81,962.26,9.19,Pollution
10.81,959.9,9.13,Pollution
10.81,962.26,9.06,Pollution
10.81,959.9,9,Pollution
10.81,962.26,9.06,Pollution
10.81,962.26,9,Pollution
10.81,962.26,8.94,Pollution
10.81,962.26,8.94,Pollution
10.81,964.62,8.88,Pollution
10.81,964.62,8.88,Pollution
10.81,962.26,8.88,Pollution
10.81,962.26,8.81,Pollution
10.81,962.26,8.75,Pollution
10.81,962.26,8.75,Pollution
10.81,962.26,8.69,Pollution
10.81,962.26,8.69,Pollution
10.81,964.62,8.69,Pollution
10.61,962.26,8.63,Pollution
10.61,962.26,8.63,Pollution
10.61,962.26,8.63,Pollution
10.61,962.26,8.63,Pollution
10.61,962.26,8.56,Pollution
10.61,962.26,8.56,Pollution
10.61,962.26,8.5,Pollution
10.61,962.26,8.5,Pollution
10.61,962.26,8.5,Pollution
10.61,962.26,8.44,Pollution
10.61,962.26,8.44,Pollution
10.61,962.26,8.38,Pollution
10.61,962.26,8.44,Pollution
10.61,964.62,8.38,Pollution
10.61,959.9,8.38,Pollution
10.61,962.26,8.31,Pollution
10.61,962.26,8.31,Pollution
10.61,964.62,8.25,Pollution
10.61,962.26,8.25,Pollution
10.61,964.62,8.19,Pollution
10.61,964.62,8.19,Pollution
10.61,962.26,8.13,Pollution
10.61,964.62,8.13,Pollution
10.61,962.26,8.06,Pollution
10.61,962.26,8.06,Pollution
10.61,962.26,8.06,Pollution
10.61,962.26,8,Pollution
10.61,964.62,8,Pollution
10.61,964.62,7.88,Pollution
10.61,964.62,7.88,Pollution
10.61,964.62,7.81,Pollution
10.61,964.62,7.81,Pollution
10.61,962.26,7.75,Pollution
10.61,962.26,7.75,Pollution
10.61,964.62,7.69,Pollution
10.61,962.26,7.69,Pollution
10.61,964.62,7.56,Pollution
10.61,962.26,7.63,Pollution
10.61,964.62,7.5,Pollution
10.61,962.26,7.5,Pollution
10.64,962.26,7.5,Pollution
10.64,962.26,7.5,Pollution
10.64,964.62,7.44,Pollution
10.64,964.62,7.38,Pollution
10.64,962.26,7.38,Pollution
10.64,964.62,7.44,Pollution
10.64,964.62,7.38,Pollution
10.64,964.62,7.38,Pollution
10.64,964.62,7.44,Pollution
10.64,964.62,7.44,Pollution
10.64,962.26,7.38,Pollution
10.64,964.62,7.38,Pollution
10.64,966.98,7.38,Pollution
10.64,966.98,7.38,Pollution
10.64,964.62,7.38,Pollution
10.64,964.62,7.31,Pollution
10.64,964.62,7.38,Pollution
10.64,964.62,7.31,Pollution
10.64,964.62,7.31,Pollution
10.64,962.26,7.31,Pollution
10.64,964.62,7.25,Pollution
10.64,962.26,7.25,Pollution
10.64,964.62,7.31,Pollution
10.64,964.62,7.25,Pollution
10.64,964.62,7.25,Pollution
10.64,964.62,7.25,Pollution
10.64,964.62,7.25,Pollution
10.64,964.62,7.25,Pollution
10.64,964.62,7.19,Pollution
10.64,966.98,7.25,Pollution
10.64,292.34,7.25,Pollution
10.64,289.98,7.19,Pollution
10.64,167.32,7.19,Signs of Water Pollution
10.64,181.47,7.19,Signs of Water Pollution
10.64,176.75,7.13,Signs of Water Pollution
10.64,179.11,7.13,Signs of Water Pollution
10.64,172.04,7.13,Signs of Water Pollution
10.64,172.04,7.13,Signs of Water Pollution
10.64,176.75,7.13,Signs of Water Pollution
10.64,172.04,7.19,Signs of Water Pollution
8.97,174.39,7.13,Signs of Water Pollution
8.97,172.04,7.06,Signs of Water Pollution
8.97,169.68,7.06,Signs of Water Pollution
8.97,169.68,7.13,Signs of Water Pollution
8.97,169.68,7.13,Signs of Water Pollution
8.97,169.68,7.13,Signs of Water Pollution
8.97,169.68,7.13,Signs of Water Pollution
8.97,167.32,7.13,Signs of Water Pollution
8.97,167.32,7.13,Signs of Water Pollution
8.97,167.32,7.13,Signs of Water Pollution
8.97,164.96,7.06,Signs of Water Pollution
8.97,162.6,7.13,Signs of Water Pollution
8.97,167.32,7.13,Signs of Water Pollution
8.97,167.32,7.13,Signs of Water Pollution
8.97,164.96,7.06,Signs of Water Pollution
8.97,162.6,7.13,Signs of Water Pollution
8.97,162.6,7.06,Signs of Water Pollution
8.97,160.24,7.13,Signs of Water Pollution
8.97,160.24,7.06,Signs of Water Pollution
8.97,160.24,7.13,Signs of Water Pollution
8.97,160.24,7.13,Signs of Water Pollution
8.97,160.24,7.19,Signs of Water Pollution
8.97,155.52,7.13,Signs of Water Pollution
8.97,155.52,7.13,Signs of Water Pollution
8.97,155.52,7.13,Signs of Water Pollution
8.97,155.52,7.13,Signs of Water Pollution
8.97,155.52,7.06,Signs of Water Pollution
8.97,153.16,7.06,Signs of Water Pollution
8.97,150.81,7.13,Signs of Water Pollution
8.97,150.81,7.06,Signs of Water Pollution
8.97,150.81,7.13,Signs of Water Pollution
8.97,150.81,7.06,Signs of Water Pollution
8.97,148.45,7.13,Signs of Water Pollution
8.97,148.45,7.06,Signs of Water Pollution
8.97,148.45,7.06,Signs of Water Pollution
8.97,150.81,7.06,Signs of Water Pollution
8.97,150.81,7.06,Signs of Water Pollution
8.97,148.45,7.06,Signs of Water Pollution
8.97,148.45,7.06,Signs of Water Pollution
8.97,148.45,7,Signs of Water Pollution
9.21,148.45,7,Signs of Water Pollution
9.21,146.09,7,Signs of Water Pollution
9.21,148.45,7,Signs of Water Pollution
9.21,148.45,7.06,Signs of Water Pollution
9.21,148.45,7,Signs of Water Pollution
9.21,148.45,6.94,Signs of Water Pollution
9.21,148.45,7,Signs of Water Pollution
9.21,160.24,6.94,Signs of Water Pollution
9.21,148.45,6.94,Signs of Water Pollution
9.21,146.09,6.94,Signs of Water Pollution
9.21,146.09,6.94,Signs of Water Pollution
9.21,148.45,6.94,Signs of Water Pollution
9.21,148.45,6.94,Signs of Water Pollution
9.21,146.09,7,Signs of Water Pollution
9.21,146.09,6.94,Signs of Water Pollution
9.21,146.09,6.94,Signs of Water Pollution
9.21,148.45,6.94,Signs of Water Pollution
9.21,148.45,6.94,Signs of Water Pollution
9.21,146.09,6.94,Signs of Water Pollution
9.21,143.73,6.94,Signs of Water Pollution
9.21,146.09,6.94,Signs of Water Pollution
9.21,146.09,7,Signs of Water Pollution
9.21,146.09,7,Signs of Water Pollution
9.21,143.73,6.94,Signs of Water Pollution
9.21,146.09,7.06,Signs of Water Pollution
9.21,146.09,12.25,Signs of Water Pollution
9.21,143.73,20.87,Signs of Water Pollution
9.21,143.73,27.25,Signs of Water Pollution
9.21,143.73,31.81,Signs of Water Pollution
9.21,143.73,35.13,Signs of Water Pollution
9.21,143.73,37.69,Signs of Water Pollution
9.21,143.73,39.69,Signs of Water Pollution
9.21,143.73,41.31,Signs of Water Pollution
9.21,148.45,42.69,Signs of Water Pollution
9.21,146.09,43.94,Signs of Water Pollution
9.21,143.73,44.81,Signs of Water Pollution
9.21,146.09,45.44,Signs of Water Pollution
9.21,143.73,46,Signs of Water Pollution
9.21,146.09,46.44,Signs of Water Pollution
9.21,143.73,46.81,Signs of Water Pollution
9.44,146.09,47.13,Signs of Water Pollution
9.44,143.73,47.44,Signs of Water Pollution
9.44,143.73,47.63,Signs of Water Pollution
9.44,146.09,47.88,Signs of Water Pollution
9.44,146.09,48.06,Signs of Water Pollution
9.44,150.81,48.25,Signs of Water Pollution
9.44,143.73,48.31,Signs of Water Pollution
9.44,146.09,48.44,Signs of Water Pollution
9.44,143.73,48.5,Signs of Water Pollution
9.44,143.73,48.56,Signs of Water Pollution
9.44,143.73,48.63,Signs of Water Pollution
9.44,143.73,48.69,Signs of Water Pollution
9.44,146.09,48.75,Signs of Water Pollution
9.44,143.73,48.81,Signs of Water Pollution
9.44,146.09,48.88,Signs of Water Pollution
9.44,143.73,48.88,Signs of Water Pollution
9.44,146.09,48.88,Signs of Water Pollution
9.44,146.09,48.88,Signs of Water Pollution
9.44,146.09,48.88,Signs of Water Pollution
9.44,143.73,48.94,Signs of Water Pollution
9.44,143.73,48.88,Signs of Water Pollution
9.44,146.09,48.88,Signs of Water Pollution
9.44,148.45,48.88,Signs of Water Pollution
9.44,150.81,48.81,Signs of Water Pollution
9.44,148.45,48.81,Signs of Water Pollution
9.44,146.09,48.81,Signs of Water Pollution
9.44,146.09,48.81,Signs of Water Pollution
9.44,146.09,48.81,Signs of Water Pollution
9.44,146.09,48.81,Signs of Water Pollution
9.44,146.09,48.81,Signs of Water Pollution
9.44,146.09,48.81,Signs of Water Pollution
9.44,146.09,48.81,Signs of Water Pollution
9.44,143.73,48.75,Signs of Water Pollution
9.44,143.73,48.75,Signs of Water Pollution
9.44,143.73,48.69,Signs of Water Pollution
9.44,146.09,48.69,Signs of Water Pollution
9.44,143.73,48.69,Signs of Water Pollution
9.44,146.09,48.69,Signs of Water Pollution
9.44,235.73,48.69,Signs of Water Pollution
9.44,356.03,48.69,Pollution
9.59,247.52,48.63,Signs of Water Pollution
9.59,249.88,48.63,Signs of Water Pollution
9.59,254.6,48.63,Pollution
9.59,261.67,48.56,Pollution
9.59,228.65,48.56,Signs of Water Pollution
9.59,233.37,48.5,Signs of Water Pollution
9.59,886.77,48.56,Pollution
9.59,891.49,48.5,Pollution
9.59,912.72,48.5,Pollution
9.59,259.31,48.5,Pollution
9.59,268.75,48.5,Pollution
9.59,282.9,48.44,Pollution
9.59,910.36,48.44,Pollution
9.59,898.57,48.44,Pollution
9.59,306.49,48.38,Pollution
9.59,304.13,48.38,Pollution
9.59,294.7,48.44,Pollution
9.59,299.41,48.38,Pollution
9.59,306.49,48.38,Pollution
9.59,327.72,48.38,Pollution
9.59,318.29,48.38,Pollution
9.59,323,48.38,Pollution
9.59,325.36,48.38,Pollution
9.59,327.72,48.31,Pollution
9.59,332.44,48.31,Pollution
9.59,341.87,48.31,Pollution
9.59,341.87,48.25,Pollution
9.59,348.95,48.31,Pollution
9.59,348.95,48.25,Pollution
